system:index,total_precipitation_hourly
19800113T05,4.5031176697449593e-08
19800113T06,1.0382463129952577e-07
19800113T07,1.4095017478908718e-07
19800113T08,1.336406496564214e-07
19800113T09,8.861563641649761e-07
19800113T10,9.9607947891218e-09
19800113T11,0.0
19800113T12,0.0
19800113T13,0.0
19800113T14,-2.715176870494963e-09
19800113T15,-1.8522093165808226e-10
19800113T16,0.0
19800113T17,0.0
19800113T18,4.314218636031994e-07
19800113T19,0.0
19800113T20,0.0
19800113T21,0.0
19800113T22,4.318261799991938e-07
19800113T23,-2.673431106091837e-09
19800114T00,4.291523509891704e-07
19800114T01,0.0
19800114T02,0.0
19800114T03,0.0
19800114T04,0.0
19800114T05,0.0
19800114T06,0.0
19800114T07,4.276632239452738e-07
19800114T08,0.0
19800114T09,4.24217333763558e-07
19800114T10,8.694119268610293e-11
19800114T11,0.0
19800114T12,0.0
19800114T13,4.37377223338433e-07
19800114T14,4.149945307263993e-07
19800114T15,9.478375705873903e-09
19800114T16,4.3370446957118564e-07
19800114T17,1.3958696448262111e-08
19800114T18,8.321440344179046e-07
19800114T19,4.664433075683856e-07
19800114T20,6.589038852472694e-08
19800114T21,6.446090453232628e-08
19800114T22,7.835665308885908e-08
19800114T23,8.047868944288126e-08
19800115T00,3.3269131904407866e-08
19800115T01,2.2602199777806503e-08
19800115T02,2.1502718195390612e-08
19800115T03,3.4857399119422133e-08
19800115T04,4.124398317028739e-08
19800115T05,6.168316681259926e-08
19800115T06,4.3078123434131775e-08
19800115T07,3.013752971061999e-07
19800115T08,2.6442914815964954e-07
19800115T09,1.5586421200786266e-07
19800115T10,6.563937617669349e-08
19800115T11,4.763080589824846e-09
19800115T12,4.2681784634227217e-07
19800115T13,3.789889452882965e-09
19800115T14,3.2140500150549147e-09
19800115T15,5.677567965365133e-09
19800115T16,1.1849059164782132e-08
19800115T17,2.20194576047066e-08
19800115T18,1.9854373805375347e-09
19800115T19,1.7157060112491675e-08
19800115T20,1.495474624922102e-08
19800115T21,1.5124023221676034e-08
19800115T22,9.399229007734396e-09
19800115T23,7.066801360901687e-09
19800116T00,1.6721522719822878e-10
19800116T01,1.366235099057608e-11
19800116T02,1.969874278123213e-09
19800116T03,2.411394907725895e-10
19800116T04,1.397625165850757e-09
19800116T05,3.2994592039884705e-08
19800116T06,1.1811395456081417e-07
19800116T07,1.5662358231064635e-06
19800116T08,2.375435337679051e-06
19800116T09,3.6600070054000266e-06
19800116T10,3.1900811286742487e-06
19800116T11,3.769820565014118e-06
19800116T12,2.353665555452421e-06
19800116T13,1.084060867310509e-06
19800116T14,8.151582268244788e-07
19800116T15,7.845861340730147e-07
19800116T16,2.0828779416296508e-06
19800116T17,2.4630395170980916e-06
19800116T18,3.0131101232505227e-06
19800116T19,6.036568641947143e-06
19800116T20,3.1721578499879824e-06
19800116T21,2.0289207624528686e-06
19800116T22,1.205553251387448e-06
19800116T23,7.188968150311203e-07
19800117T00,5.511824297768833e-07
19800117T01,4.433857341478215e-07
19800117T02,3.373010306722661e-07
19800117T03,3.231597269774574e-07
19800117T04,3.151626033225403e-07
19800117T05,3.732429244263648e-07
19800117T06,4.173572206133618e-07
19800117T07,1.6582691150733689e-06
19800117T08,1.3086421285574129e-06
19800117T09,6.247035004289315e-07
19800117T10,4.926661933562028e-07
19800117T11,6.613221292629076e-08
19800117T12,1.135264325868649e-08
19800117T13,1.5177338030808918e-11
19800117T14,0.0
19800117T15,-6.10532266609554e-11
19800117T16,2.307278560427982e-09
19800117T17,9.974279090492074e-09
19800117T18,1.3297219733979606e-08
19800117T19,1.2600993890335896e-07
19800117T20,1.0236388674270175e-07
19800117T21,4.8648694419481754e-08
19800117T22,2.036374063394943e-08
19800117T23,8.992166733129512e-09
19800118T00,9.288298670094323e-09
19800118T01,1.0690755147939442e-08
19800118T02,2.5813909681309793e-08
19800118T03,5.961322955067114e-08
19800118T04,4.721995517723358e-08
19800118T05,4.8208864991408616e-08
19800118T06,1.0727536594042475e-07
19800118T07,6.250610353924872e-08
