system:index,total_precipitation_hourly
20110106T18,1.9122931161466672E-4
20110106T19,5.450291911333342E-4
20110106T20,5.908589405515542E-4
20110106T21,3.9625583066726157E-4
20110106T22,3.280093453260984E-4
20110106T23,2.2613407004206228E-4
20110107T00,2.093635513072783E-4
20110107T01,1.9658814587285683E-4
20110107T02,1.8820944248538994E-4
20110107T03,1.4203017483157648E-4
20110107T04,1.1122442123168316E-4
20110107T05,1.2840679153728614E-4
20110107T06,7.392792743915363E-5
20110107T07,1.5772613906392665E-4
20110107T08,1.911535948366514E-4
20110107T09,6.685834355028229E-4
20110107T10,9.917871504602864E-4
20110107T11,0.0010702315883375428
20110107T12,0.0012069118977348194
20110107T13,9.757831137068409E-4
20110107T14,7.154691312392417E-4
20110107T15,6.766849104609755E-4
20110107T16,3.818521211096337E-4
20110107T17,1.5422877132584994E-4
20110107T18,1.1512831328987054E-4
20110107T19,9.175098495993548E-5
20110107T20,1.900991535202962E-4
20110107T21,3.4768895986321335E-4
20110107T22,5.201836804851902E-4
20110107T23,5.80575233287647E-4
20110108T00,5.218059760262807E-4
20110108T01,3.003589944073533E-4
20110108T02,1.7659603802847113E-4
20110108T03,8.623043904425488E-5
20110108T04,9.130309583561523E-5
20110108T05,1.5181306287993232E-4
20110108T06,1.9552090062922438E-4
20110108T07,2.3845525709268866E-4
20110108T08,1.1050518124019974E-4
20110108T09,8.914486580233209E-5
20110108T10,4.5663138511375824E-5
20110108T11,2.55266159902915E-5
20110108T12,4.852821175623877E-5
20110108T13,5.813078053354248E-5
20110108T14,6.844580904631039E-5
20110108T15,5.09088115321588E-5
20110108T16,3.877958091648401E-5
20110108T17,8.823070494704354E-5
20110108T18,2.561404957287757E-4
20110108T19,4.4554863755339254E-5
20110108T20,1.3612047834700986E-4
20110108T21,5.083409286888679E-4
20110108T22,7.205695985898807E-4
20110108T23,5.833729651303903E-4
20110109T00,5.364302776644036E-4
20110109T01,5.895893345300733E-4
20110109T02,6.311168179626066E-4
20110109T03,6.023434096005335E-4
20110109T04,5.246635706704568E-4
20110109T05,5.586263987189009E-4
20110109T06,6.846021904994541E-4
20110109T07,8.176541940841245E-4
