system:index,total_evaporation_hourly
20110103T07,2.035390142854488E-6
20110103T08,1.3687563832866292E-6
20110103T09,-6.340056131142553E-7
20110103T10,-3.3922045900169286E-6
20110103T11,-1.156004162877485E-5
20110103T12,-1.9906191906824872E-5
20110103T13,-2.2270515374235383E-5
20110103T14,-2.0348676916144888E-5
20110103T15,-1.3236369096133079E-5
20110103T16,-7.263091569703989E-6
20110103T17,-4.236606643616082E-6
20110103T18,-1.931155882040141E-6
20110103T19,4.179628492175544E-7
20110103T20,1.9704970562750294E-6
20110103T21,2.0900135134201848E-6
20110103T22,2.421700923354616E-6
20110103T23,2.177726133951824E-6
20110104T00,2.1556988096166283E-6
20110104T01,1.8620511816297416E-6
20110104T02,1.7753449689018896E-6
20110104T03,1.596324663717243E-6
20110104T04,1.6054050428533395E-6
20110104T05,1.7100820798088032E-6
20110104T06,1.4640673056162474E-6
20110104T07,1.6098221574869826E-6
20110104T08,9.209623831034551E-7
20110104T09,-2.1580674366952376E-7
20110104T10,-2.966501173682938E-6
20110104T11,-9.912670321423495E-6
20110104T12,-2.3477108615480216E-5
20110104T13,-2.8357756282579178E-5
20110104T14,-2.7101687033087803E-5
20110104T15,-1.8529736868202874E-5
20110104T16,-1.0621383530288946E-5
20110104T17,-6.011880244902137E-6
20110104T18,-3.70499601092893E-6
20110104T19,-8.486197800169881E-7
20110104T20,-1.8718227163430143E-6
20110104T21,-9.036524245102549E-7
20110104T22,8.089705448996325E-8
20110104T23,4.6695074289170957E-7
20110105T00,-8.370618913378587E-8
20110105T01,4.5426819993156306E-7
20110105T02,9.18400072575627E-7
20110105T03,3.2430958139032953E-6
20110105T04,4.566138576230375E-6
20110105T05,3.5132249193908976E-6
20110105T06,2.842575821873069E-6
20110105T07,3.060364573208688E-6
20110105T08,3.15241445155945E-6
20110105T09,-1.2346318165805704E-6
20110105T10,-8.359142940652552E-6
20110105T11,-1.7874155549713123E-5
20110105T12,-2.9304559673054933E-5
20110105T13,-3.319971181017079E-5
20110105T14,-2.4333379105340215E-5
20110105T15,-1.244722354978609E-5
20110105T16,-3.850463257977551E-6
20110105T17,-6.372755023203569E-6
20110105T18,-7.978351138373668E-6
20110105T19,-6.252823123655899E-6
20110105T20,-4.617017345247199E-6
20110105T21,-2.358641003535098E-6
20110105T22,-1.74699377347141E-6
20110105T23,-2.931104459566656E-6
20110106T00,-1.2712283704617503E-6
20110106T01,4.116245688818827E-7
20110106T02,3.5744553380401856E-6
20110106T03,5.132640907279535E-6
20110106T04,6.42783285815108E-6
20110106T05,6.6940150730463705E-6
20110106T06,9.318246421389658E-6
20110106T07,2.3965650538265487E-5
20110106T08,2.391555220701693E-5
20110106T09,2.0446973696088148E-5
20110106T10,1.610428489055654E-5
20110106T11,1.5532019047535237E-5
20110106T12,1.434699833492666E-5
20110106T13,9.576445432885243E-6
20110106T14,1.0172524519194343E-5
20110106T15,9.081620461208755E-6
20110106T16,1.0814497856142666E-5
20110106T17,1.532537019533383E-5
20110106T18,1.622643972789614E-5
20110106T19,3.4089212687832215E-5
20110106T20,3.3343855371952226E-5
20110106T21,3.8992491540181295E-5
20110106T22,3.6850827981936385E-5
20110106T23,3.525772722925244E-5
20110107T00,3.202314907923467E-5
20110107T01,2.6676309773060864E-5
20110107T02,2.71578530709414E-5
20110107T03,2.4802425559533082E-5
20110107T04,2.664920570830491E-5
20110107T05,2.785362098813897E-5
20110107T06,2.6273133967810814E-5
20110107T07,2.9926619427885715E-5
20110107T08,2.0510683012360796E-5
20110107T09,1.0175883504087537E-5
20110107T10,-3.1033452717884018E-6
20110107T11,-3.3310903527207784E-6
20110107T12,4.923522740578895E-6
20110107T13,1.855308290639738E-7
20110107T14,1.9713044163118987E-6
20110107T15,2.2142875032048073E-6
20110107T16,8.462296146352214E-7
20110107T17,9.257173224248851E-10
20110107T18,1.5647147805941774E-6
20110107T19,1.3209471756390908E-5
20110107T20,2.155784483069891E-5
20110107T21,1.7637560886425003E-5
20110107T22,1.4040444700517442E-5
20110107T23,1.5742676168694315E-5
20110108T00,1.0825726697731374E-5
20110108T01,7.979864365687027E-6
20110108T02,2.990667899897564E-6
20110108T03,1.6240785990314584E-6
20110108T04,5.480793842958912E-6
20110108T05,6.511679949418132E-6
20110108T06,-4.206510275539236E-8
20110108T07,3.829122541984978E-6
20110108T08,-2.8186252962837305E-6
20110108T09,-2.9222179457603362E-5
20110108T10,-6.562613159306781E-5
20110108T11,-9.866013629195779E-5
20110108T12,-9.529132498585965E-5
20110108T13,-8.152262910093866E-5
20110108T14,-6.624556577498029E-5
20110108T15,-4.6220810309664475E-5
20110108T16,-1.3436246195963764E-5
20110108T17,-5.43342313754218E-6
20110108T18,-6.230738904871642E-6
20110108T19,-2.1514074582446465E-5
20110108T20,-1.8832384393951753E-5
20110108T21,-2.012382894363831E-5
20110108T22,-3.07591706342058E-5
20110108T23,-3.7070615135358865E-5
20110109T00,-3.807760463503159E-5
20110109T01,-3.9509366895771133E-5
20110109T02,-4.181633383443222E-5
20110109T03,-4.237484973088524E-5
20110109T04,-4.236107854433143E-5
20110109T05,-3.480960886261713E-5
20110109T06,-3.131861818065724E-5
20110109T07,-2.2561728451047238E-5
20110109T08,-3.265035565202087E-5
20110109T09,-3.8053265707220626E-5
20110109T10,-3.596626348334541E-5
20110109T11,-3.990567718991445E-5
20110109T12,-4.861401416499071E-5
20110109T13,-5.631406261967523E-5
20110109T14,-5.3509884690179776E-5
20110109T15,-3.504686386916514E-5
20110109T16,-1.5340006193589894E-5
20110109T17,-5.8582658409611275E-6
20110109T18,-4.083463288194971E-6
20110109T19,-8.503485435547545E-7
20110109T20,2.8078479439155054E-6
20110109T21,4.106946672450777E-6
20110109T22,5.0063996080883315E-6
20110109T23,4.109979614282337E-6
20110110T00,3.7658483163720532E-6
20110110T01,3.2314079547711963E-6
20110110T02,2.248226431596506E-6
20110110T03,1.4166834790653632E-6
20110110T04,9.005337783100454E-7
20110110T05,1.0750574187193355E-6
20110110T06,4.6237867063407466E-7
20110110T07,5.095899519512437E-7
20110110T08,3.735523060640063E-7
20110110T09,-4.347910210171418E-6
20110110T10,-2.167371822070008E-5
20110110T11,-5.274750717205778E-5
20110110T12,-6.896582533884226E-5
20110110T13,-6.205048872794897E-5
20110110T14,-4.7709995816551784E-5
20110110T15,-2.546694153167562E-5
20110110T16,-6.897614741233454E-6
20110110T17,-1.1590948944177142E-6
20110110T18,3.386163705842267E-7
20110110T19,-9.376077441524425E-7
20110110T20,1.484857663581744E-6
20110110T21,2.967620491522562E-6
20110110T22,2.519291620019734E-6
20110110T23,1.4870276030735555E-6
20110111T00,1.0549977055502418E-6
20110111T01,-5.951842044870196E-7
20110111T02,6.851270032239534E-7
20110111T03,-7.784943009098014E-8
20110111T04,2.2346938245818824E-6
20110111T05,4.753923223875419E-6
20110111T06,4.992073524819399E-6
20110111T07,6.720764641041202E-6
20110111T08,1.7447459026293295E-6
20110111T09,-2.096945281230031E-5
20110111T10,-3.3379999981833267E-5
20110111T11,-4.9942051779820805E-5
20110111T12,-4.82967237960316E-5
20110111T13,-3.54060795845695E-5
20110111T14,-2.633588669862323E-5
20110111T15,-1.3043282501402256E-5
20110111T16,-3.671649018038454E-6
20110111T17,-2.2783755414344696E-6
20110111T18,2.742613273790469E-6
20110111T19,7.590339638069834E-6
20110111T20,6.746700834264176E-6
