system:index,total_evaporation_hourly
19800108T21,-1.8400156327509905e-07
19800108T22,-5.498744491792382e-07
19800108T23,9.289636606728424e-07
19800109T00,2.781553269394665e-06
19800109T01,3.805984095404517e-06
19800109T02,4.366622553100559e-06
19800109T03,2.9638916395096715e-06
19800109T04,7.216623673085478e-06
19800109T05,5.860336974984416e-06
19800109T06,5.030545662135414e-06
19800109T07,4.1944414061803635e-06
19800109T08,3.2874003894396403e-06
19800109T09,-5.788903893697803e-06
19800109T10,-2.6514694665284507e-05
19800109T11,-4.150474691842771e-05
19800109T12,-5.714437892870138e-05
19800109T13,-6.054222467321357e-05
19800109T14,-4.590322724169442e-05
19800109T15,-2.5814635744228055e-05
19800109T16,-9.0365157770461e-06
19800109T17,-3.158982299238237e-06
19800109T18,-1.981676242362455e-06
19800109T19,1.000337903334458e-06
19800109T20,2.049480417428727e-06
19800109T21,3.944582108954055e-06
19800109T22,4.192844433324032e-06
19800109T23,4.488813150805669e-06
19800110T00,5.094883649893226e-06
19800110T01,5.915001086889953e-06
19800110T02,3.068400476296114e-06
19800110T03,5.246332586647259e-06
19800110T04,3.318316453611583e-06
19800110T05,3.81921339693368e-06
19800110T06,1.9609106411771143e-06
19800110T07,-2.4035563610626276e-06
19800110T08,-3.84084548487774e-06
19800110T09,-1.2188490265575085e-05
19800110T10,-2.988981545868799e-05
19800110T11,-5.409465500910244e-05
19800110T12,-6.002086933767359e-05
19800110T13,-5.898925223229415e-05
19800110T14,-5.159220994127092e-05
19800110T15,-3.602119477916536e-05
19800110T16,-1.9569095541785938e-05
19800110T17,-1.3059082428230142e-05
19800110T18,-1.1329867966681804e-05
19800110T19,-1.2418873603528146e-05
19800110T20,-1.2497493948277018e-05
19800110T21,-1.1586611919826917e-05
19800110T22,-8.563115560748866e-06
19800110T23,-6.24375699672097e-06
19800111T00,-4.350127299930866e-06
19800111T01,-2.4794617474630424e-06
19800111T02,-3.335914252832781e-07
19800111T03,-3.464058189130293e-07
19800111T04,-9.08432381904695e-07
19800111T05,-1.8047780147812557e-06
19800111T06,-3.0280371015744703e-06
19800111T07,-5.148655799817775e-06
19800111T08,-5.941321889153924e-06
19800111T09,-1.0115261005753686e-05
19800111T10,-1.7622661237908292e-05
19800111T11,-2.4980905325899352e-05
19800111T12,-2.852072206749743e-05
19800111T13,-2.759057572888345e-05
19800111T14,-2.614757945502427e-05
19800111T15,-2.1839982445203944e-05
19800111T16,-1.6379577004484696e-05
19800111T17,-1.3022291013947732e-05
19800111T18,-1.1794148559556605e-05
19800111T19,-1.1094107238319593e-05
19800111T20,-1.094750571988632e-05
19800111T21,-1.1882997086018611e-05
19800111T22,-1.1420516693769183e-05
19800111T23,-9.97899981129313e-06
19800112T00,-8.857499342878632e-06
